id_centro,id_comuna,nombre_centro,tipo_centro,afiliacion_centro
2045,4,Posta de Salud Rural Alcérreca,Posta,Público
2046,2,Posta de Salud Rural Codpa,Posta,Público
2047,3,Posta de Salud Rural Ticnamar,Posta,Público
2048,1,Posta de Salud Rural Sobraya,Posta,Público
2049,1,Centro de Salud Mental Comunitaria Norte,Centro de Salud Mental,Público
2050,1,ESSMA Sur de Arica,Otro,Público
2051,1,Centro Comunitario de Salud Familiar Dr. Miguel Massa,Centro Comunitario,Público
2052,1,Centro Comunitario de Salud Familiar Dr. René García Valenzuela,Centro Comunitario,Público
2053,1,Centro Comunitario de Salud Familiar Cerro La Cruz,Centro Comunitario,Público
2054,1,Policlínico Instituto de Seguridad del Trabajo,Policlínico,Privado
2055,1,SAPU Marco Antonio Carvajal Moreno,SAPU,Público
2056,1,SAPU Iris Véliz Hume,SAPU,Público
2057,1,Centro Médico Lifemed,Centro Médico,Privado
2058,5,Policlínico Centro de Cumplimiento Penitenciario Iquique,Policlínico,Privado
2059,7,Policlínico de Atención Primaria del Centro de Detención Preventiva de Pozo Almonte,Policlínico,Privado
2060,10,SAPU Huara,SAPU,Público
2061,6,Centro de Diálisis Alto Hospicio,Otro,Privado
2062,5,Laboratorio Médico Bioclinic Ltda.,Laboratorio,Privado
2063,5,Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Iquique),Otro,Público
2064,5,PRAIS (S.S. Iquique),Otro,Público
2065,5,Clínica Dental Móvil Simple. Pat. RW6740 (Iquique),Clínica,Público
2066,5,Hospital Dr. Ernesto Torres Galdames (Iquique),Hospital,Público
2067,5,Clínica Iquique,Clínica,Privado
2068,5,Clínica Tarapacá,Clínica,Privado
2069,5,Centro Clínico Militar Iquique,Centro Clínico,Privado
2070,5,Centro Médico y Dental Megasalud Iquique,Centro Médico,Privado
2071,5,Centro de Salud Mutual CChC Iquique,Mutual,Privado
2072,5,Policlínico Naval de Iquique,Policlínico,Privado
2073,5,Policlínico FACH de Iquique,Policlínico,Privado
2074,5,Policlínico Carabineros de Iquique,Policlínico,Privado
2075,11,Clínica Coposa Cía. Minera Doña Inés de Collahuasi,Clínica,Privado
2076,6,Clínica Establecimiento Penitenciario Alto Hospicio,Clínica,Privado
2077,5,Centro de Atención Instituto de Seguridad del Trabajador Iquique,Otro,Privado
2078,5,Policlínico del Trabajador AChS Iquique,Policlínico,Privado
2079,5,Vacunatorio Sonrisa Infantil,Vacunatorio,Privado
2080,6,Centro Médico y Dental Megasalud Alto Hospicio,Centro Médico,Privado
2081,5,Vacunatorio Vacumed,Vacunatorio,Privado
2082,5,Centro de Salud Universidad Arturo Prat,Otro,Privado
2083,5,Laboratorio Clínico Bionet,Laboratorio,Privado
2084,5,Laboratorio Clínico Automatizado Elmo,Laboratorio,Privado
2085,5,Laboratorio Clínico Automatizado Biogénesis,Laboratorio,Privado
2086,5,Clinicum Laboratorio Automatizado Ltda.,Laboratorio,Privado
2087,5,Centro de Diálisis Medicen,Otro,Privado
2088,5,Centro de Diálisis Iquique,Otro,Privado
2089,5,Centro de Diálisis Corporación Paúl Harris,Otro,Privado
2090,5,Laboratorio Clínico Iquilab,Laboratorio,Privado
2091,5,Laboratorio Clínico Playa Brava,Laboratorio,Privado
2092,6,Laboratorio Clínico del Norte,Laboratorio,Privado
2093,5,Laboratorio Clínico OASIS S.A.C.,Laboratorio,Privado
2094,5,Laboratorio Clínico Wallace Ltda.,Laboratorio,Privado
2095,5,Centro de Diálisis la Tirana,Otro,Privado
2096,5,Laboratorio Clínico Costanera,Laboratorio,Privado
2097,5,Laboratorio Clínico Arauco Ltda.,Laboratorio,Privado
2098,5,Centro de Salud Familiar Cirujano Aguirre,CESFAM,Público
2099,5,Centro de Salud Familiar Cirujano Videla,CESFAM,Público
2100,5,Centro de Salud Familiar Cirujano Guzmán,CESFAM,Público
2101,7,Centro de Salud Familiar Pozo Almonte,CESFAM,Público
2102,11,Centro de Salud Familiar Dr. Juan Márquez Vismarra,CESFAM,Público
2103,6,Centro de Salud Familiar Pedro Pulgar Melgarejo,CESFAM,Público
2104,5,Centro de Salud Familiar Sur de Iquique,CESFAM,Público
2105,6,Centro de Salud Familiar Dr. Héctor Reyno Gutiérrez,CESFAM,Público
2106,10,Centro de Salud Familiar Dr. Amador Neghme Rodríguez,CESFAM,Público
2107,8,Centro de Salud Familiar Camiña,CESFAM,Público
2108,9,Centro de Salud Familiar Colchane,CESFAM,Público
2109,10,Posta de Salud Rural Pisagua,Posta,Público
2110,10,Posta de Salud Rural Huara,Posta,Público
2111,10,Posta de Salud Rural Tarapacá,Posta,Público
2112,7,Posta de Salud Rural Mamiña,Posta,Público
2113,8,Posta de Salud Rural Camiña,Posta,Público
2114,9,Posta de Salud Rural Colchane,Posta,Público
2115,7,Posta de Salud Rural La Tirana,Posta,Público
2116,10,Posta de Salud Rural Chiapa,Posta,Público
2117,8,Posta de Salud Rural Moquella,Posta,Público
2118,9,Posta de Salud Rural Enquelga,Posta,Público
2119,10,Posta de Salud Rural Sibaya,Posta,Público
2120,11,Posta de Salud Rural Cancosa,Posta,Público
2121,5,Posta de Salud Rural Chanavayita,Posta,Público
2122,5,Posta de Salud Rural San Marcos,Posta,Público
2123,7,Posta de Salud Rural La Huayca,Posta,Público
2124,9,Posta de Salud Rural Cariquima,Posta,Público
2125,11,Posta de Salud Rural Matilla,Posta,Público
2126,5,COSAM Dr. Jorge Seguel Cáceres,Otro,Público
2127,5,COSAM Salvador Allende,Otro,Público
2128,6,COSAM Enrique París,Otro,Público
2129,5,Centro Comunitario de Salud Familiar Cerro Esmeralda,Centro Comunitario,Público
2130,6,Centro Comunitario de Salud Familiar El Boro,Centro Comunitario,Público
2131,5,SAPU Cirujano Aguirre,SAPU,Público
2132,5,SAPU Cirujano Videla,SAPU,Público
2133,5,SAPU Cirujano Guzmán,SAPU,Público
2134,7,SAPU Pozo Almonte,SAPU,Público
2135,6,SAPU Pedro Pulgar Melgarejo,SAPU,Público
2136,5,SAR Sur de Iquique,SAR,Público
2137,6,SAPU El Boro,SAPU,Público
2138,6,Laboratorio Clínico Wallace SpA.,Laboratorio,Privado
2139,10,Posta de Salud Rural Pachica,Posta,Público
2140,6,Laboratorio Clínico TREZ-000,Laboratorio,Privado
2141,5,Laboratorio Clínico de Nueva Clínica Tarapacá,Clínica,Privado
2142,5,Instituto de Rehabilitación Infantil TELETÓN (Iquique),TELETÓN,Privado
2143,6,Centro Comunitario de Salud Familiar La Tortuga,Centro Comunitario,Público
2144,16,Vacunatorio y Sala de Procedimientos Daniela Alvarez,Vacunatorio,Privado
2145,16,SAR Alemania,SAR,Público
2146,12,Laboratorio Clínico Atenea,Laboratorio,Privado
2147,16,Centro Comunitario de Salud Familiar Oasis,Centro Comunitario,Público
2148,12,Instituto de Rehabilitación Infantil TELETÓN (Antofagasta),TELETÓN,Privado
2149,12,Laboratorio Clínico Kausay,Laboratorio,Privado
2150,12,Policlínico Gendarmería Regional de Antofagasta,Policlínico,Privado
2151,12,COSAM Norte,Otro,Público
2152,12,Vacunatorio Minimed,Vacunatorio,Privado
2153,12,Laboratorio Clínico Austral,Laboratorio,Privado
2154,12,Centro Oncológico del Norte (CON),Otro,Público
2155,16,Instituto de Rehabilitación Infantil TELETÓN (Calama),TELETÓN,Privado
2156,12,Centro de Salud Familiar Valdivieso,CESFAM,Público
2157,12,Laboratorio Clínico Lavoisier,Laboratorio,Privado
2158,12,Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Antofagasta),Otro,Público
2159,12,PRAIS (S.S Antofagasta),Otro,Público
2160,12,Clínica Dental Móvil Simple. Pat. PW4072 (Antofagasta),Clínica,Público
2161,12,Clínica Dental Móvil Triple. Pat. BBZV82 (Antofagasta),Clínica,Público
2162,12,Hospital Dr. Leonardo Guzmán (Antofagasta),Hospital,Público
2163,16,Hospital Dr. Carlos Cisternas (Calama),Hospital,Público
2164,19,Hospital Dr. Marcos Macuada (Tocopilla),Hospital,Público
2165,15,Hospital 21 de Mayo (Taltal),Hospital,Público
2166,13,Hospital de Mejillones,Hospital,Público
2167,12,Centro Oncológico Ambulatorio,Otro,Público
2168,20,Hospital Cruz del Norte,Hospital,Privado
2169,12,Clínica Antofagasta,Clínica,Privado
2170,12,Hospital Militar del Norte,Hospital,Privado
2171,16,Clínica Mutual de Seguridad CChC de Calama,Clínica,Privado
2172,12,Clínica Baquedano,Clínica,Privado
2173,12,Clínica Urológica,Clínica,Privado
2174,12,Clínica Oriente,Clínica,Privado
2175,19,Clínica Mutual de Seguridad CChC Tocopilla,Clínica,Privado
2176,16,Clínica El Loa,Clínica,Privado
2177,16,Hospital del Cobre Salvador Allende,Hospital,Privado
2178,12,Clínica La Portada,Clínica,Privado
2179,16,Laboratorio Clínico Calama,Laboratorio,Privado
2180,12,Clínica Oftalmológica (Mas Visión),Clínica,Privado
2181,12,Clínica Cumbres del Norte S.A.,Clínica,Privado
2182,16,Centro Médico y Dental Megasalud Calama,Centro Médico,Privado
2183,12,Centro Médico y Dental Megasalud Antofagasta,Centro Médico,Privado
2184,12,Centro de Salud Mutual CChC Antofagasta,Mutual,Privado
2185,12,Policlínico del Trabajador AChS Antofagasta,Policlínico,Privado
2186,12,Centro Médico Norte,Centro Médico,Privado
2187,12,Consultorio Bautista,Otro,Privado
2188,12,Laboratorio Clínico Ehrlich,Laboratorio,Privado
2189,12,Policlínico Mantos Blancos,Policlínico,Privado
2190,16,Centro de Salud Victoria Saravia Crespo,SAR,Privado
2191,16,Centro de Salud Aidoret Caro,Otro,Privado
2192,12,Centro de Salud Clinisan,Otro,Privado
2193,12,Centro de Salud Sanymed,Otro,Privado
2194,16,Clínica de la Familia El Loa,Clínica,Privado
2195,12,Sociedad Diálisis Nordial Ltda.,Otro,Privado
2196,12,Centro Médico y Dental Zona Antofagasta,Centro Médico,Privado
2197,16,Consultorio Prefectura de El Loa,Otro,Privado
2198,12,Policlínico Instituto de Seguridad del Trabajo,Policlínico,Privado
2199,16,Laboratorio Diagnos,Laboratorio,Privado
2200,16,Laboratorio High Clinic,Laboratorio,Privado
2201,16,Laboratorio Tecmed Ltda.,Laboratorio,Privado
2202,12,Laboratorio Histonor,Laboratorio,Privado
2203,12,Laboratorio Diagnolab (Antofagasta),Laboratorio,Privado
2204,12,Laboratorio Luis Pasteur,Laboratorio,Privado
2205,12,Laboratorio Bionet,Laboratorio,Privado
2206,12,Laboratorio Clinilab (Antofagasta),Laboratorio,Privado
2207,12,Laboratorio Clínico Blanco,Laboratorio,Privado
2208,12,Laboratorio Radiolab,Laboratorio,Privado
2209,12,Doctor'Lab. Ltda.,Otro,Privado
2210,16,Centro de Diálisis Calama,Otro,Privado
2211,12,Clínica de Diálisis TECDIAL Ltda.,Clínica,Privado
2212,12,Laboratorio Clínico Labclin,Laboratorio,Privado
2213,12,Laboratorio Dipreca,Laboratorio,Privado
2214,12,Laboratorio Clínico Galeno,Laboratorio,Privado
2215,12,Laboratorio Clínico Madison EIRL,Laboratorio,Privado
2216,16,Laboratorio Clínico Salumed,Laboratorio,Privado
2217,16,Laboratorio Clínico Diagnolab,Laboratorio,Privado
2218,16,Laboratorio Clínico Blanco,Laboratorio,Privado
2219,16,Laboratorio Clínico COMDES,Laboratorio,Público
2220,12,Laboratorio Sarita Núñez,Laboratorio,Público
2221,12,Centro de Salud Familiar Norte de Antofagasta,CESFAM,Público
2222,12,Centro de Salud Familiar Antonio Rendic (Ex Cautín),CESFAM,Público
2223,12,Centro de Salud Familiar Corvallis,CESFAM,Público
2224,12,Centro de Salud Familiar Centro Sur de Antofagasta,CESFAM,Público
2225,12,Centro de Salud Familiar Juan Pablo II de Antofagasta,CESFAM,Público
2226,16,Centro de Salud Familiar Central de Calama,CESFAM,Público
2227,16,Centro de Salud Familiar Montt,CESFAM,Público
2228,16,Centro de Salud Familiar Alemania de Calama,CESFAM,Público
2229,12,Centro de Salud Familiar Central Oriente de Antofagasta,CESFAM,Público
2230,20,Centro de Salud Familiar María Elena,CESFAM,Público
2231,18,Centro de Salud Familiar San Pedro Atacama,CESFAM,Público
2232,16,Centro de Salud Familiar Norponiente,CESFAM,Público
2233,12,Centro Asistencial Norte (CAN),Otro,Público
2234,14,Posta de Salud Rural Baquedano,Posta,Público
2235,14,Posta de Salud Rural Sierra Gorda,Posta,Público
2236,18,Posta de Salud Rural Toconao,Posta,Público
2237,18,Posta de Salud Rural Peine,Posta,Público
2238,18,Posta de Salud Rural Socaire,Posta,Público
2239,16,Posta de Salud Rural Caspana,Posta,Público
2240,17,Posta de Salud Rural Ollagüe,Posta,Público
2241,16,Posta de Salud Rural Ayquina,Posta,Público
2242,16,Posta de Salud Rural Chiu-Chiu,Posta,Público
2243,20,Posta de Salud Rural Quillagua (María Elena),Posta,Público
2244,15,Posta de Salud Rural Paposo,Posta,Público
2245,18,Estación de Salud Rural Río Grande,Otro,Público
2246,16,COSAM Calama,Otro,Público
2247,12,COSAM Sur de Antofagasta,Otro,Público
2248,12,COSAM Central,Otro,Público
2249,19,Policlínico Asociación Chilena de Seguridad AChS Tocopilla,Policlínico,Privado
2250,16,Policíinico Asociación Chilena de Seguridad AChS Calama,Otro,Privado
2251,13,Policlínico Asociación Chilena de Seguridad AChS Mejillones,Policlínico,Privado
2252,12,SAPU Central Oriente de Antofagasta,SAPU,Público
2253,12,SAPU Centro Sur de Antofagasta,SAPU,Público
2254,12,Crystal Lab Scientific Diagnostics,Otro,Privado
2255,16,Centro de Diálisis Renacer,Otro,Privado
2256,16,Margaret Meneses Meneses,Otro,Privado
2257,12,Centro de Diálisis Ehrlich Limitada,Otro,Privado
2258,12,Centro de Salud Familiar Dra. Maria Cristina Rojas Neumann,CESFAM,Público
2259,12,Centro Comunitario de Salud Familiar Antofagasta,Centro Comunitario,Público
2260,16,Centro Comunitario de Salud Familiar Sur,Centro Comunitario,Público
2261,16,Centro Comunitario de Salud Familiar Alemania,Centro Comunitario,Público
2262,12,SAPU Norte de Antofagasta,SAPU,Público
2263,12,SAPU Antonio Rendic,SAPU,Público
2264,12,SAPU Corvallis,SAPU,Público
2265,12,SAPU Juan Pablo II de Antofagasta,SAPU,Público
2266,16,SAPUEnrique Montt,SAPU,Público
2267,16,SAPU Alemania de Calama,SAPU,Público
2268,16,Vacunatorio Sociedad de Enfermería Asistencial E.I.R.L,Vacunatorio,Privado
2269,12,Vacunatorio Labonort Salud Integral,Vacunatorio,Privado
2270,12,Laboratorio Medinort Salud Ocupacional e Integral S.A.,Laboratorio,Privado
2271,12,INMUNIN SpA,Otro,Privado
2272,21,Actividades Gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Atacama),Otro,Público
2273,21,PRAIS (S.S Atacama),Otro,Público
2274,21,Clínica Dental Móvil Simple. Pat. PW4068 (Copiapo),Clínica,Público
2275,21,Hospital San José del Carmen (Copiapó),Hospital,Público
2276,24,Hospital Dr. Jerónimo Méndez Arancibia (Chañaral),Hospital,Público
2277,25,Hospital Dr. Florencio Vargas (Diego de Almagro),Hospital,Público
2278,26,Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar),Hospital,Público
2279,29,Hospital Dr. Manuel Magalhaes Medling (Huasco),Hospital,Público
2280,25,Clínica San Lorenzo,Clínica,Privado
2281,21,Centro de Salud del Trabajador AChS Copiapó,Otro,Privado
2282,21,Centro de Salud Mutual CChC Copiapó,Mutual,Privado
2283,26,Clínica del Trabajador AChS Vallenar,Clínica,Privado
2284,21,Centro de Salud Universidad de Atacama,Otro,Privado
2285,26,Centro de Salud Compañía Acero del Pacifico,Otro,Privado
2286,26,Laboratorio Bio-Test,Laboratorio,Privado
2287,21,Laboratorio Atacama,Laboratorio,Privado
2288,21,Clínica Indire,Clínica,Privado
2289,21,Centro de Salud CEDIMED,Otro,Privado
2290,21,Laboratorio Clínico Guillermo Guaita,Laboratorio,Privado
2291,26,Laboratorio Clínico Huasco-Vallenar,Laboratorio,Privado
2292,21,Laboratorio Clínico SIAC Copiapo,Laboratorio,Privado
2293,26,Laboratorio Clínico Vallenar,Laboratorio,Privado
2294,21,Laboratorio Clínico Bionet S.A.,Laboratorio,Privado
2295,21,Laboratorio Clínico Diagnolab,Laboratorio,Privado
2296,21,Laboratorio Clínico Examed,Laboratorio,Privado
2297,26,Laboratorio Clínico Coprese,Laboratorio,Privado
2298,21,Clínica Atacama S.A.,Clínica,Privado
2299,21,Laboratorio Clinimed,Laboratorio,Privado
2300,21,Centro Médico y Diagnóstico Atacama SPA,Centro Médico,Privado
2301,21,Clínica Dial Vida,Clínica,Privado
2302,21,Centro de Diálisis Nefrodial Atacama,Otro,Privado
2303,21,Centro de Diálisis Curanilahue,Otro,Privado
2304,26,Centro de Diálisis Vallenar,Otro,Privado
2305,26,Centro de Diálisis Renacer del Valle,Otro,Privado
2306,21,Centro de Salud Familiar Santa Elvira,CESFAM,Público
2307,22,Centro de Salud Familiar Rosario Corvalán,CESFAM,Público
2308,21,Centro de Salud Familiar Juan Martínez,CESFAM,Público
2309,21,Centro de Salud Familiar Pedro León Gallo,CESFAM,Público
2310,21,Centro de Salud Familiar Rosario-Palomar,CESFAM,Público
2311,21,Centro de Salud Familiar Candelaria Rosario,CESFAM,Público
2312,21,Centro de Salud Familiar Manuel Rodríguez,CESFAM,Público
2313,21,Centro de Salud Familiar Paipote,CESFAM,Público
2314,23,Centro de Salud Familiar Dr. Salvador Allende Gossens,CESFAM,Público
2315,24,Centro de Salud Familiar Dr. Luis Herrera,CESFAM,Público
2316,25,Centro de Salud Familiar El Salvador,CESFAM,Público
2317,26,Centro de Salud Familiar Estación,CESFAM,Público
2318,28,Centro de Salud Familiar Freirina,CESFAM,Público
2319,26,Centro de Salud Familiar Hermanos Carrera,CESFAM,Público
2320,26,Centro de Salud Familiar Baquedano,CESFAM,Público
2321,26,Centro de Salud Familiar Joan Crawford Astudillo,CESFAM,Público
2322,29,Centro de Salud Familiar Juan Verdaguer,CESFAM,Público
2323,21,Centro de Salud Familiar Dr. Bernardo Mellibovsky,CESFAM,Público
2324,27,Centro de Salud Familiar Alto del Carmen,CESFAM,Público
2325,23,Posta de Salud Rural Los Loros,Posta,Público
2326,24,Posta de Salud Rural El Salado de Chañaral,Posta,Público
2327,25,Posta de Salud Rural Inca de Oro,Posta,Público
2328,27,Posta de Salud Rural San Félix,Posta,Público
2329,27,Posta de Salud Rural El Tránsito,Posta,Público
2330,26,Posta de Salud Rural Domeyko,Posta,Público
2331,27,Posta de Salud Rural Conay,Posta,Público
2332,26,Posta de Salud Rural Hacienda Ventanas,Posta,Público
2333,28,Posta de Salud Rural Carrizalillo (Freirina),Posta,Público
2334,26,Posta de Salud Rural Cachiyuyo,Posta,Público
2335,26,Posta de Salud Rural Incahuasi,Posta,Público
2336,26,Posta de Salud Rural Hacienda Compañía,Posta,Público
2337,29,Posta de Salud Rural Segundo Ponce,Posta,Público
2338,27,Posta de Salud Rural Las Breas (Alto del Carmen),Posta,Público
2339,29,Posta de Salud Rural Padre Mariano Avellana Lasierra,Posta,Público
2340,29,Posta de Salud Rural Jeremías Cortés,Posta,Público
2341,22,Centro Comunitario de Salud Familiar Orfelia Lavín,Centro Comunitario,Público
2342,23,Puesto de Atención Médica Especializada (Tierra Amarilla),Otro,Público
2343,25,Puesto de Atención Médica Especializada (Diego de Almagro),Otro,Público
2344,24,Puesto de Atención Médica Especializada (Chañaral),Otro,Público
2345,26,SAPU Baquedano,SAPU,Público
2346,21,SAPU Dr. Bernardo Mellibovsky,SAPU,Público
2347,26,SAPU Joan Crawford Astudillo,SAPU,Público
2348,21,SAPU Paipote,SAPU,Público
2349,22,SAPU Rosario Corvalán,SAPU,Público
2350,21,SAPU El Palomar,SAPU,Público
2351,26,Laboratorio Clínico Blanco,Laboratorio,Privado
2352,26,Laboratorio Clínico Bionet,Laboratorio,Privado
2353,24,Laboratorio Chañaral,Laboratorio,Privado
2354,26,Laboratorio Clínico López,Laboratorio,Privado
2355,25,Centro de Diálisis Municipal Diego de Almagro,Otro,Privado
2356,26,Centro de Salud Mutual CChC Vallenar,Mutual,Privado
2357,21,Instituto de Rehabilitación Infantil TELETÓN (Atacama),TELETÓN,Privado
2358,21,Laboratorio Clínico Blanco,Laboratorio,Privado
2359,21,Centro Médico y Dental Copiapó IIIa Zona Carabineros Atacama,Centro Médico,Privado
2360,21,Integramédica Copiapó,Otro,Privado
2361,36,Centro de Salud Familiar Urbano de Illapel,CESFAM,Público
2362,40,Centro Comunitario de Salud Familiar Colonia Limarí,Centro Comunitario,Público
2363,30,Vacunatorio Ad Hominem,Vacunatorio,Privado
2364,31,Centro Comunitario de Salud Familiar Punta Mira,Centro Comunitario,Público
2365,40,Centro Comunitario de Salud Familiar Los Copihues,Centro Comunitario,Público
2366,30,Policlínico Universidad Pedro de Valdivia,Policlínico,Privado
2367,30,Policlínico de Funcionarios de Gendarmería de Chile La Serena,Policlínico,Privado
2368,30,Unidad de Salud del Establecimiento Penitenciario de La Serena,Otro,Privado
2369,31,Centro de Salud IST Coquimbo,Otro,Privado
2370,30,Laboratorio Clínico Megasalud S.A.,Laboratorio,Privado
2371,31,Centro de Salud Familiar El Sauce,CESFAM,Público
2372,31,Centro de Salud Familiar Rural Pan de Azúcar,CESFAM,Público
2373,39,Laboratorio Clínico Astelab,Laboratorio,Privado
2374,40,Laboratorio Clínico Bionet S.A,Laboratorio,Privado
2375,40,Laboratorio Clínico Medilab Ltda.,Laboratorio,Privado
2376,31,Laboratorio Clínico Arauco,Laboratorio,Privado
2377,31,Clínica Regional Coquimbo,Clínica,Privado
2378,30,Centro de Salud Familiar Cardenal Caro,CESFAM,Público
2379,30,Centro de Salud Familiar Las Compañías,CESFAM,Público
2380,30,Centro de Salud Familiar Pedro Aguirre Cerda,CESFAM,Público
2381,31,Centro de Salud Familiar San Juan,CESFAM,Público
2382,31,Centro de Salud Familiar Santa Cecilia,CESFAM,Público
2383,31,Centro de Salud Familiar Tierras Blancas,CESFAM,Público
2384,34,Centro de Salud Familiar Paihuano,CESFAM,Público
2385,42,Centro de Salud Familiar Monte Patria,CESFAM,Público
2386,43,Centro de Salud Familiar Punitaqui,CESFAM,Público
2387,37,Centro de Salud Familiar Canela,CESFAM,Público
2388,44,Centro de Salud Familiar Pichasca,CESFAM,Público
2389,42,Centro de Salud Familiar Chañaral Alto,CESFAM,Público
2390,42,Centro de Salud Familiar Carén,CESFAM,Público
2391,30,Centro de Salud Familiar Dr. Emilio Schaffhauser,CESFAM,Público
2392,33,Centro de Salud Familiar La Higuera,CESFAM,Público
2393,40,Centro de Salud Familiar Cerrillos de Tamaya,CESFAM,Público
2394,40,Centro de Salud Familiar Jorge Jordán Domic,CESFAM,Público
2395,42,Centro de Salud Familiar El Palqui,CESFAM,Público
2396,30,Centro de Salud Familiar Cardenal Raúl Silva Henríquez de La Serena,CESFAM,Público
2397,31,Centro de Salud Familiar Tongoy,CESFAM,Público
2398,40,Centro de Salud Familiar Marcos Macuada,CESFAM,Público
2399,31,Centro de Salud Familiar Dr. Sergio Aguilar Delgado,CESFAM,Público
2400,40,Centro de Salud Familiar Sotaquí,CESFAM,Público
2401,30,Centro de Salud Familiar Juan Pablo II,CESFAM,Público
2402,36,Centro de Salud Familiar Villa San Rafael de Rozas,CESFAM,Público
2403,30,Posta de Salud Rural Algarrobito,Posta,Público
2404,30,Posta de Salud Rural Las Rojas,Posta,Público
2405,30,Posta de Salud Rural El Romero,Posta,Público
2406,31,Posta de Salud Rural El Tangue,Posta,Público
2407,31,Posta de Salud Rural Guanaqueros,Posta,Público
2408,31,Posta de Salud Rural Pan de Azúcar,Posta,Público
2409,31,Posta de Salud Rural Tambillo,Posta,Público
2410,44,Posta de Salud Rural El Chañar,Posta,Público
2411,44,Posta de Salud Rural Hurtado,Posta,Público
2412,44,Posta de Salud Rural Las Breas (Río Hurtado),Posta,Público
2413,44,Posta de Salud Rural Samo Alto,Posta,Público
2414,44,Posta de Salud Rural Serón,Posta,Público
2415,40,Posta de Salud Rural Barraza,Posta,Público
2416,40,Posta de Salud Rural Camarico (Ovalle),Posta,Público
2417,40,Posta de Salud Rural Alcones Bajo,Posta,Público
2418,40,Posta de Salud Rural Las Sossas,Posta,Público
2419,40,Posta de Salud Rural Limarí,Posta,Público
2420,40,Posta de Salud Rural Hornillos,Posta,Público
2421,42,Posta de Salud Rural Chilecito,Posta,Público
2422,42,Posta de Salud Rural Hacienda Valdivia,Posta,Público
2423,42,Posta de Salud Rural Huatulame,Posta,Público
2424,42,Posta de Salud Rural Mialqui,Posta,Público
2425,42,Posta de Salud Rural Pedregal,Posta,Público
2426,42,Posta de Salud Rural Rapel (Monte Patria),Posta,Público
2427,41,Posta de Salud Rural San Lorenzo (Combarbalá),Posta,Público
2428,41,Posta de Salud Rural San Marcos (Combarbalá),Posta,Público
